0,22948; 0,65040
0,19776; 0,74645
0,23414; 0,85843
0,29291; 0,85195
0,44310; 0,74108
0,45336; 0,77654
0,47886; 0,73987
0,49151; 0,78877
0,50231; 0,74128
0,52822; 0,77585
0,53794; 0,73807
0,64914; 0,82779
0,68585; 0,85158
0,74739; 0,85811
0,78518; 0,74766
0,76179; 0,68826
0,75189; 0,65136
0,76988; 0,61899
0,76449; 0,57579
0,78248; 0,53622
0,79778; 0,50385
0,82297; 0,44899
0,80497; 0,45527
0,83646; 0,40761
0,81127; 0,41659
0,84546; 0,36983
0,81667; 0,38060
0,83466; 0,33743
0,78698; 0,36708
0,80048; 0,32390
0,75819; 0,34906
0,77888; 0,32208
0,74919; 0,33825
0,76449; 0,30588
0,72310; 0,31573
0,68441; 0,28601
0,68891; 0,24912
0,66282; 0,25180
0,66192; 0,22211
0,64032; 0,23198
0,64932; 0,19600
0,62233; 0,20677
0,59624; 0,19325
0,58904; 0,16086
0,55035; 0,17162
0,53596; 0,13202
0,52876; 0,15180
0,48917; 0,13017
0,45228; 0,14768
0,44643; 0,13103
0,43114; 0,17061
0,39245; 0,16157
0,38570; 0,19306
0,35961; 0,20653
0,33172; 0,19571
0,34072; 0,23080
0,31912; 0,21999
0,32002; 0,25058
0,29303; 0,24875
0,29573; 0,28564
0,25794; 0,31530
0,21745; 0,30537
0,23275; 0,33687
0,19946; 0,31974
0,22285; 0,34766
0,17966; 0,32242
0,19496; 0,36383
0,14727; 0,33679
0,16437; 0,37999
0,13558; 0,37007
0,17157; 0,41689
0,14547; 0,40607
0,17697; 0,45558
0,15897; 0,44837
0,18416; 0,50327
0,20036; 0,53478
0,21745; 0,57528
0,21115; 0,61666
